,,Carpet Area Prices(Rs.Per Sq.Ft.),,,
Patna,Mar 2019,"4,178","5,029","4,268","3,725"
Patna,Jun 2019,"4,243","5,221","4,349","3,715"
Patna,Sep 2019,"4,392","5,265","4,523","3,816"
Patna,Dec 2019,"4,543","5,586","4,646","4,007"
Patna,Mar 2020,"4,810","5,537","4,763","4,781"
Patna,Jun 2020,"4,940","5,599","4,842","5,069"
Patna,Sep 2020,"5,211","5,696","4,929","5,911"
Patna,Dec 2020,"5,268","5,612","4,895","6,262"
Patna,Mar 2021,"5,095","5,714","4,937","5,410"
Patna,Jun 2021,"5,087","5,652","4,967","5,304"
Patna,Sep 2021,"5,187","5,604","5,176","5,124"
Patna,Dec 2021,"5,334","5,398","5,462","4,951"
Patna,Mar 2022,"5,457","5,272","5,741","4,685"
Patna,Jun 2022,"5,547","5,262","5,883","4,647"
Patna,Sep 2022,"5,615","5,758","5,960","4,591"
Patna,Dec 2022,"5,728","6,256","6,070","4,622"
Patna,Mar 2023,"5,961","6,945","6,230","4,963"
Patna,Jun 2023,"6,021","6,926","6,248","5,159"
Patna,Sep 2023,"6,234","6,717","6,474","5,436"
Patna,Dec 2023,"6,478","6,509","6,675","5,902"
Patna,Mar 2024,"6,525","6,351","6,718","6,010"
Patna,Jun 2024,"6,636","6,308","6,844","6,112"
Patna,Sep 2024,"6,776","6,626","6,983","6,215"
Bhopal,Jun-2013,"3,285","3,553","3,122","2,827"
Bhopal,Sep-2013,"3,366","3,686","3,139","2,983"
Bhopal,Dec-2013,"3,403","3,614","3,259","3,127"
Bhopal,Mar-2014,"3,464","3,655","3,375","3,003"
Bhopal,Jun-2014,"3,480","3,623","3,468","2,848"
Bhopal,Sep-2014,"3,462","3,599","3,461","2,816"
Bhopal,Dec-2014,"3,413","3,586","3,379","2,759"
Bhopal,Mar-2015,"3,417","3,637","3,293","2,991"
Bhopal,Jun-2015,"3,460","3,614","3,357","3,242"
Bhopal,Sep-2015,"3,446","3,607","3,332","3,253"
Bhopal,Dec-2015,"3,529","3,667","3,418","3,436"
Bhopal,Mar-2016,"3,556","3,689","3,487","3,266"
Bhopal,Jun-2016,"3,526","3,715","3,398","3,268"
Bhopal,Sep-2016,"3,587","3,782","3,457","3,314"
Bhopal,Dec-2016,"3,555","3,777","3,421","3,174"
Bhopal,Mar-2017,"3,554","3,751","3,429","3,244"
Bhopal,Jun-2017,"3,609","3,635","3,626","3,400"
Bhopal,Sep-2017,"3,562","3,495","3,622","3,575"
Bhopal,Dec-2017,"3,563","3,480","3,615","3,701"
Bhopal,Mar-2018,"3,699","3,622","3,739","3,868"
Bhopal,JUN-2018,"3,705","3,691","3,678","3,907"
Bhopal,SEP-2018,"3,751","3,749","3,709","3,973"
Bhopal,DEC 2018,"3,797","3,796","3,738","4,097"
Bhopal,Mar 2019,"3,710","3,716","3,616","4,161"
Bhopal,Jun 2019,"3,701","3,716","3,623","4,022"
Bhopal,Sep 2019,"3,729","3,719","3,670","4,080"
Bhopal,Dec 2019,"3,792","3,718","3,807","4,071"
Bhopal,Mar 2020,"3,915","3,774","4,014","4,081"
Bhopal,Jun 2020,"3,991","3,795","4,140","4,168"
Bhopal,Sep 2020,"3,989","3,813","4,135","4,087"
Bhopal,Dec 2020,"3,959","3,810","4,077","4,069"
Bhopal,Mar 2021,"3,818","3,689","3,918","3,930"
Bhopal,Jun 2021,"3,790","3,669","3,870","3,960"
Bhopal,Sep 2021,"3,834","3,662","3,953","4,049"
Bhopal,Dec 2021,"3,788","3,543","3,986","3,960"
Bhopal,Mar 2022,"3,890","3,528","4,188","4,106"
Bhopal,Jun 2022,"3,918","3,537","4,235","4,127"
Bhopal,Sep 2022,"3,972","3,601","4,282","4,176"
Bhopal,Dec 2022,"4,071","3,696","4,388","4,250"
Bhopal,Mar 2023,"4,086","3,785","4,324","4,320"
Bhopal,Jun 2023,"4,067","3,829","4,264","4,210"
Bhopal,Sep 2023,"4,033","3,757","4,265","4,179"
Bhopal,Dec 2023,"4,005","3,726","4,223","4,240"
Bhopal,Mar 2024,"4,127","3,726","4,457","4,373"
Bhopal,Jun 2024,"4,270","3,799","4,621","4,739"
Bhopal,Sep 2024,"4,405","3,913","4,803","4,742"
Bhubaneswar,Jun-2013,"3,555","3,001","3,381","3,931"
Bhubaneswar,Sep-2013,"3,641","3,314","3,504","3,924"
Bhubaneswar,Dec-2013,"3,590","3,493","3,475","3,804"
Bhubaneswar,Mar-2014,"3,653","3,889","3,596","3,724"
Bhubaneswar,Jun-2014,"3,611","3,735","3,588","3,635"
Bhubaneswar,Sep-2014,"3,574","3,956","3,511","3,638"
Bhubaneswar,Dec-2014,"3,626","3,954","3,540","3,737"
Bhubaneswar,Mar-2015,"3,628","4,022","3,515","3,780"
Bhubaneswar,Jun-2015,"3,698","4,329","3,528","3,920"
Bhubaneswar,Sep-2015,"3,700","4,285","3,500","3,980"
Bhubaneswar,Dec-2015,"3,629","4,377","3,407","3,928"
Bhubaneswar,Mar-2016,"3,622","4,436","3,395","3,923"
Bhubaneswar,Jun-2016,"3,585","4,259","3,351","3,914"
Bhubaneswar,Sep-2016,"3,620","4,203","3,402","3,932"
Bhubaneswar,Dec-2016,"3,665","4,080","3,451","3,989"
Bhubaneswar,Mar-2017,"3,763","3,716","3,549","4,146"
Bhubaneswar,Jun-2017,"3,839","3,877","3,644","4,178"
Bhubaneswar,Sep-2017,"3,827","3,950","3,602","4,208"
Bhubaneswar,Dec-2017,"3,965","4,060","3,793","4,257"
Bhubaneswar,Mar-2018,"3,958","4,133","3,775","4,258"
Bhubaneswar,JUN-2018,"4,011","4,074","3,851","4,285"
Bhubaneswar,SEP-2018,"4,163","4,243","4,075","4,306"
Bhubaneswar,DEC 2018,"4,216","4,327","4,125","4,362"
Bhubaneswar,Mar 2019,"4,417","4,516","4,345","4,533"
Bhubaneswar,Jun 2019,"4,468","4,509","4,416","4,553"
Bhubaneswar,Sep 2019,"4,523","4,684","4,473","4,590"
Bhubaneswar,Dec 2019,"4,721","4,897","4,746","4,654"
Bhubaneswar,Mar 2020,"4,745","5,030","4,820","4,578"
Bhubaneswar,Jun 2020,"4,798","5,555","4,854","4,604"
Bhubaneswar,Sep 2020,"4,779","5,381","4,765","4,728"
Bhubaneswar,Dec 2020,"4,655","5,708","4,578","4,660"
Bhubaneswar,Mar 2021,"4,847","5,840","4,823","4,766"
Bhubaneswar,Jun 2021,"4,923","5,739","4,947","4,778"
Bhubaneswar,Sep 2021,"4,967","5,833","5,044","4,723"
Bhubaneswar,Dec 2021,"5,223","5,830","5,342","4,937"
Bhubaneswar,Mar 2022,"5,541","6,145","5,691","5,199"
Bhubaneswar,Jun 2022,"5,640","6,213","5,732","5,406"
Bhubaneswar,Sep 2022,"5,845","6,399","5,981","5,535"
Bhubaneswar,Dec 2022,"6,002","6,756","6,159","5,632"
Bhubaneswar,Mar 2023,"6,226","6,950","6,308","5,991"
Bhubaneswar,Jun 2023,"6,401","7,302","6,472","6,164"
Bhubaneswar,Sep 2023,"6,579","7,463","6,531","6,552"
Bhubaneswar,Dec 2023,"6,659","7,641","6,643","6,565"
Bhubaneswar,Mar 2024,"6,994","8,613","6,983","6,811"
Bhubaneswar,Jun 2024,"7,313","8,913","7,409","6,943"
Bhubaneswar,Sep 2024,"7,616","8,973","7,912","6,925"
Rajkot,Jun-2013,"4,267","4,015","4,517","5,176"
Rajkot,Sep-2013,"4,362","4,257","4,373","5,175"
Rajkot,Dec-2013,"4,474","4,361","4,527","5,166"
Rajkot,Mar-2014,"4,456","4,357","4,512","5,006"
Rajkot,Jun-2014,"4,473","4,405","4,477","5,016"
Rajkot,Sep-2014,"4,433","4,342","4,453","5,088"
Rajkot,Dec-2014,"4,363","4,291","4,324","5,146"
Rajkot,Mar-2015,"4,301","4,207","4,263","5,252"
Rajkot,Jun-2015,"4,358","4,220","4,379","5,405"
Rajkot,Sep-2015,"4,422","4,274","4,419","5,659"
Rajkot,Dec-2015,"4,578","4,439","4,571","5,747"
Rajkot,Mar-2016,"4,707","4,651","4,577","5,771"
Rajkot,Jun-2016,"4,825","4,820","4,666","5,602"
Rajkot,Sep-2016,"4,928","4,974","4,764","5,324"
Rajkot,Dec-2016,"4,956","5,017","4,787","5,242"
Rajkot,Mar-2017,"4,997","5,031","4,943","4,971"
Rajkot,Jun-2017,"5,023","5,015","4,955","5,401"
Rajkot,Sep-2017,"5,095","5,013","5,039","6,031"
Rajkot,Dec-2017,"5,218","5,142","5,189","5,973"
Rajkot,Mar-2018,"5,298","5,238","5,252","6,008"
Rajkot,JUN-2018,"5,307","5,236","5,318","5,847"
Rajkot,SEP-2018,"5,402","5,300","5,479","5,884"
Rajkot,DEC 2018,"5,394","5,307","5,450","5,855"
Rajkot,Mar 2019,"5,376","5,271","5,467","5,811"
Rajkot,Jun 2019,"5,451","5,357","5,554","5,752"
Rajkot,Sep 2019,"5,441","5,366","5,517","5,699"
Rajkot,Dec 2019,"5,484","5,322","5,672","5,936"
Rajkot,Mar 2020,"5,506","5,367","5,644","6,009"
Rajkot,Jun 2020,"5,522","5,380","5,652","6,084"
Rajkot,Sep 2020,"5,485","5,381","5,565","5,976"
Rajkot,Dec 2020,"5,371","5,253","5,451","5,967"
Rajkot,Mar 2021,"5,423","5,282","5,588","5,810"
Rajkot,Jun 2021,"5,455","5,284","5,650","5,947"
Rajkot,Sep 2021,"5,565","5,371","5,812","6,017"
Rajkot,Dec 2021,"5,707","5,568","5,917","5,871"
Rajkot,Mar 2022,"5,810","5,680","6,003","5,988"
Rajkot,Jun 2022,"5,864","5,724","6,055","6,121"
Rajkot,Sep 2022,"5,928","5,781","6,115","6,264"
Rajkot,Dec 2022,"5,990","5,829","6,191","6,374"
Rajkot,Mar 2023,"6,103","5,939","6,317","6,454"
Rajkot,Jun 2023,"6,157","5,998","6,378","6,429"
Rajkot,Sep 2023,"6,171","6,000","6,423","6,411"
Rajkot,Dec 2023,"6,192","5,999","6,451","6,569"
Rajkot,Mar 2024,"6,209","6,012","6,454","6,685"
Rajkot,Jun 2024,"6,221","6,027","6,462","6,689"
Rajkot,Sep 2024,"6,231","6,029","6,486","6,699"
Vizag,Jun-2013,"2,817","2,825","2,613","3,435"
Vizag,Sep-2013,"2,828","2,864","2,627","3,425"
Vizag,Dec-2013,"2,830","2,825","2,667","3,332"
Vizag,Mar-2014,"2,825","2,850","2,682","3,247"
Vizag,Jun-2014,"2,834","2,827","2,708","3,222"
Vizag,Sep-2014,"2,864","2,947","2,732","3,224"
Vizag,Dec-2014,"2,914","3,154","2,736","3,325"
Vizag,Mar-2015,"2,954","3,201","2,785","3,337"
Vizag,Jun-2015,"3,013","3,328","2,833","3,390"
Vizag,Sep-2015,"3,044","3,335","2,878","3,391"
Vizag,Dec-2015,"3,093","3,318","2,974","3,335"
Vizag,Mar-2016,"3,171","3,446","3,055","3,375"
Vizag,Jun-2016,"3,229","3,570","3,122","3,369"
Vizag,Sep-2016,"3,324","3,665","3,228","3,430"
Vizag,Dec-2016,"3,421","3,711","3,330","3,541"
Vizag,Mar-2017,"3,588","3,926","3,463","3,786"
Vizag,Jun-2017,"3,791","4,028","3,596","4,258"
Vizag,Sep-2017,"3,829","4,313","3,587","4,303"
Vizag,Dec-2017,"3,909","4,402","3,653","4,425"
Vizag,Mar-2018,"3,937","4,412","3,663","4,515"
Vizag,JUN-2018,"3,977","4,398","3,718","4,541"
Vizag,SEP-2018,"3,998","4,292","3,764","4,552"
Vizag,DEC 2018,"4,021","4,279","3,809","4,529"
Vizag,Mar 2019,"4,081","4,602","3,884","4,396"
Vizag,Jun 2019,"4,149","4,726","3,969","4,382"
Vizag,Sep 2019,"4,283","4,816","4,146","4,409"
Vizag,Dec 2019,"4,337","4,878","4,183","4,514"
Vizag,Mar 2020,"4,429","4,735","4,271","4,746"
Vizag,Jun 2020,"4,505","4,689","4,349","4,879"
Vizag,Sep 2020,"4,619","4,808","4,405","5,168"
Vizag,Dec 2020,"4,686","4,850","4,405","5,457"
Vizag,Mar 2021,"4,623","5,046","4,277","5,450"
Vizag,Jun 2021,"4,683","5,137","4,329","5,519"
Vizag,Sep 2021,"4,765","5,014","4,412","5,705"
Vizag,Dec 2021,"4,759","4,166","4,545","5,736"
Vizag,Mar 2022,"4,929","4,227","4,748","5,863"
Vizag,Jun 2022,"4,974","4,325","4,784","5,910"
Vizag,Sep 2022,"5,053","4,502","4,867","5,921"
Vizag,Dec 2022,"5,216","5,494","4,927","5,949"
Vizag,Mar 2023,"5,404","5,649","5,116","6,153"
Vizag,Jun 2023,"5,488","5,540","5,242","6,210"
Vizag,Sep 2023,"5,576","5,468","5,334","6,375"
Vizag,Dec 2023,"5,661","5,439","5,412","6,544"
Vizag,Mar 2024,"5,654","5,413","5,393","6,585"
Vizag,Jun 2024,"5,718","5,575","5,414","6,724"
Vizag,Sep 2024,"5,750","5,667","5,425","6,789"
Dehradun,Jun-2013,"4,220","5,380","4,027","3,995"
Dehradun,Sep-2013,"4,118","4,724","3,906","4,112"
Dehradun,Dec-2013,"4,110","5,046","3,839","4,044"
Dehradun,Mar-2014,"3,829","4,003","3,684","3,912"
Dehradun,Jun-2014,"3,705","3,864","3,532","3,821"
Dehradun,Sep-2014,"3,887","3,955","3,789","3,962"
Dehradun,Dec-2014,"3,935","3,870","3,873","4,020"
Dehradun,Mar-2015,"4,071","4,226","3,989","4,096"
Dehradun,Jun-2015,"4,205","4,552","4,104","4,181"
Dehradun,Sep-2015,"4,147","4,641","4,025","4,091"
Dehradun,Dec-2015,"4,200","4,836","4,017","4,153"
Dehradun,Mar-2016,"4,186","4,451","4,058","4,219"
Dehradun,Jun-2016,"4,220","4,488","4,189","4,153"
Dehradun,Sep-2016,"4,353","4,475","4,396","4,267"
Dehradun,Dec-2016,"4,367","4,461","4,424","4,276"
Dehradun,Mar-2017,"4,421","4,725","4,418","4,315"
Dehradun,Jun-2017,"4,415","4,703","4,433","4,293"
Dehradun,Sep-2017,"4,388","4,742","4,364","4,283"
Dehradun,Dec-2017,"4,330","4,891","4,301","4,158"
Dehradun,Mar-2018,"4,357","4,804","4,341","4,213"
Dehradun,JUN-2018,"4,389","4,737","4,380","4,272"
Dehradun,SEP-2018,"4,486","4,797","4,463","4,397"
Dehradun,DEC 2018,"4,673","4,758","4,615","4,699"
Dehradun,Mar 2019,"4,721","4,907","4,677","4,697"
Dehradun,Jun 2019,"4,731","4,865","4,721","4,692"
Dehradun,Sep 2019,"4,646","4,792","4,718","4,521"
Dehradun,Dec 2019,"4,630","4,618","4,754","4,510"
Dehradun,Mar 2020,"4,663","4,536","4,809","4,562"
Dehradun,Jun 2020,"4,764","4,740","4,871","4,665"
Dehradun,Sep 2020,"4,919","4,752","5,014","4,883"
Dehradun,Dec 2020,"5,082","4,856","5,116","5,129"
Dehradun,Mar 2021,"4,994","4,818","5,068","4,983"
Dehradun,Jun 2021,"5,038","4,766","5,108","5,066"
Dehradun,Sep 2021,"5,163","4,921","5,167","5,247"
Dehradun,Dec 2021,"5,196","5,068","5,204","5,235"
Dehradun,Mar 2022,"5,388","5,260","5,347","5,476"
Dehradun,Jun 2022,"5,399","5,376","5,368","5,440"
Dehradun,Sep 2022,"5,470","5,416","5,528","5,432"
Dehradun,Dec 2022,"5,460","5,434","5,632","5,296"
Dehradun,Mar 2023,"5,502","5,523","5,692","5,304"
Dehradun,Jun 2023,"5,599","5,700","5,868","5,294"
Dehradun,Sep 2023,"5,720","6,037","6,035","5,291"
Dehradun,Dec 2023,"5,837","6,193","6,205","5,339"
Dehradun,Mar 2024,"6,012","6,493","6,381","5,468"
Dehradun,Jun 2024,"6,191","6,729","6,572","5,615"
Dehradun,Sep 2024,"6,337","6,871","6,533","5,947"
Ludhiana,Jun-2013,"3,612","3,993","3,487","3,402"
Ludhiana,Sep-2013,"3,314","3,279","3,333","3,326"
Ludhiana,Dec-2013,"3,156","2,821","3,192","3,417"
Ludhiana,Mar-2014,"3,458","2,895","3,539","3,876"
Ludhiana,Jun-2014,"3,493","2,803","3,616","3,982"
Ludhiana,Sep-2014,"3,656","2,881","3,872","4,124"
Ludhiana,Dec-2014,"4,051","3,574","4,243","4,279"
Ludhiana,Mar-2015,"4,260","4,155","4,378","4,232"
Ludhiana,Jun-2015,"4,370","4,536","4,367","4,227"
Ludhiana,Sep-2015,"4,485","4,673","4,536","4,265"
Ludhiana,Dec-2015,"4,427","4,483","4,581","4,219"
Ludhiana,Mar-2016,"4,404","4,543","4,459","4,226"
Ludhiana,Jun-2016,"4,300","3,398","4,957","4,432"
Ludhiana,Sep-2016,"4,340","3,364","4,922","4,616"
Ludhiana,Dec-2016,"4,370","3,280","4,971","4,728"
Ludhiana,Mar-2017,"4,480","3,601","4,879","4,856"
Ludhiana,Jun-2017,"4,398","3,663","4,692","4,752"
Ludhiana,Sep-2017,"4,173","3,362","4,586","4,473"
Ludhiana,Dec-2017,"4,079","3,458","4,388","4,318"
Ludhiana,Mar-2018,"3,909","3,227","4,274","4,143"
Ludhiana,JUN-2018,"3,877","3,294","4,219","4,048"
Ludhiana,SEP-2018,"3,921","3,191","4,459","4,021"
Ludhiana,DEC 2018,"3,994","3,125","4,727","4,020"
Ludhiana,Mar 2019,"4,071","3,085","4,730","4,277"
Ludhiana,Jun 2019,"4,188","3,127","4,748","4,561"
Ludhiana,Sep 2019,"4,410","3,608","4,796","4,729"
Ludhiana,Dec 2019,"4,535","3,868","4,581","5,081"
Ludhiana,Mar 2020,"4,800","3,913","4,899","5,488"
Ludhiana,Jun 2020,"5,044","3,877","5,081","6,047"
Ludhiana,Sep 2020,"5,063","3,820","4,811","6,426"
Ludhiana,Dec 2020,"5,077","3,636","5,110","6,326"
Ludhiana,Mar 2021,"4,822","3,417","4,732","6,164"
Ludhiana,Jun 2021,"4,682","3,271","4,759","5,861"
Ludhiana,Sep 2021,"4,717","3,265","4,702","6,025"
Ludhiana,Dec 2021,"4,896","3,377","4,901","6,244"
Ludhiana,Mar 2022,"4,991","3,387","5,083","6,326"
Ludhiana,Jun 2022,"5,128","3,629","5,207","6,382"
Ludhiana,Sep 2022,"4,771","3,623","4,509","6,060"
Ludhiana,Dec 2022,"4,346","3,552","4,183","5,217"
Ludhiana,Mar 2023,"4,346","3,778","4,099","5,105"
Ludhiana,Jun 2023,"4,151","3,747","3,840","4,829"
Ludhiana,Sep 2023,"4,174","3,875","3,954","4,664"
Ludhiana,Dec 2023,"4,356","4,314","4,037","4,718"
Ludhiana,Mar 2024,"4,247","4,053","4,117","4,552"
Ludhiana,Jun 2024,"4,330","4,265","4,212","4,507"
Ludhiana,Sep 2024,"4,297","4,225","4,325","4,334"
Guwahati,Jun-2013,"2,965","3,100","2,986","2,905"
Guwahati,Sep-2013,"3,087","3,017","3,045","3,183"
Guwahati,Dec-2013,"3,050","3,092","3,030","3,084"
Guwahati,Mar-2014,"3,137","2,905","3,148","3,148"
Guwahati,Jun-2014,"3,231","3,337","3,194","3,292"
Guwahati,Sep-2014,"3,370","3,505","3,331","3,429"
Guwahati,Dec-2014,"3,532","3,516","3,462","3,675"
Guwahati,Mar-2015,"3,708","4,251","3,582","3,885"
Guwahati,Jun-2015,"3,703","3,369","3,648","3,863"
Guwahati,Sep-2015,"3,632","3,459","3,623","3,674"
Guwahati,Dec-2015,"3,609","3,432","3,579","3,693"
Guwahati,Mar-2016,"3,532","3,407","3,541","3,532"
Guwahati,Jun-2016,"3,592","3,629","3,601","3,569"
Guwahati,Sep-2016,"3,642","3,871","3,602","3,691"
Guwahati,Dec-2016,"3,662","3,937","3,636","3,677"
Guwahati,Mar-2017,"3,741","4,072","3,712","3,754"
Guwahati,Jun-2017,"3,632","3,999","3,710","3,422"
Guwahati,Sep-2017,"3,670","3,920","3,757","3,458"
Guwahati,Dec-2017,"3,680","3,939","3,759","3,486"
Guwahati,Mar-2018,"3,674","3,956","3,748","3,484"
Guwahati,JUN-2018,"3,712","3,983","3,756","3,585"
Guwahati,SEP-2018,"3,788","4,210","3,832","3,639"
Guwahati,DEC 2018,"3,871","4,309","3,915","3,721"
Guwahati,Mar 2019,"4,067","4,372","4,062","4,033"
Guwahati,Jun 2019,"4,159","4,385","4,151","4,143"
Guwahati,Sep 2019,"4,289","4,408","4,317","4,216"
Guwahati,Dec 2019,"4,476","4,574","4,474","4,467"
Guwahati,Mar 2020,"4,579","4,721","4,641","4,433"
Guwahati,Jun 2020,"4,708","4,938","4,778","4,533"
Guwahati,Sep 2020,"4,805","5,042","4,816","4,751"
Guwahati,Dec 2020,"4,817","5,211","4,845","4,704"
Guwahati,Mar 2021,"4,897","5,290","4,854","4,929"
Guwahati,Jun 2021,"4,922","5,375","4,921","4,861"
Guwahati,Sep 2021,"5,024","5,485","5,031","4,946"
Guwahati,Dec 2021,"5,231","5,487","5,245","5,166"
Guwahati,Mar 2022,"5,527","5,715","5,578","5,398"
Guwahati,Jun 2022,"5,674","5,734","5,652","5,710"
Guwahati,Sep 2022,"5,839","5,877","5,764","5,984"
Guwahati,Dec 2022,"5,876","6,037","5,765","6,079"
Guwahati,Mar 2023,"5,968","6,017","5,822","6,256"
Guwahati,Jun 2023,"5,926","6,026","5,841","6,082"
Guwahati,Sep 2023,"5,929","6,143","5,908","5,940"
Guwahati,Dec 2023,"5,975","6,224","5,992","5,907"
Guwahati,Mar 2024,"5,994","6,372","6,038","5,853"
Guwahati,Jun 2024,"6,084","6,505","6,082","6,030"
Guwahati,Sep 2024,"6,158","6,503","6,154","6,119"
Vijayawada,Jun-2013,"3,380","3,135","3,305","3,721"
Vijayawada,Sep-2013,"3,480","3,197","3,358","3,973"
Vijayawada,Dec-2013,"3,606","3,375","3,455","4,143"
Vijayawada,Mar-2014,"3,692","3,373","3,539","4,285"
Vijayawada,Jun-2014,"3,739","3,464","3,602","4,262"
Vijayawada,Sep-2014,"3,922","3,603","3,764","4,529"
Vijayawada,Dec-2014,"4,005","3,696","3,858","4,578"
Vijayawada,Mar-2015,"4,121","3,899","3,997","4,580"
Vijayawada,Jun-2015,"4,217","4,025","4,098","4,647"
Vijayawada,Sep-2015,"4,182","3,963","4,070","4,608"
Vijayawada,Dec-2015,"4,231","4,219","4,173","4,390"
Vijayawada,Mar-2016,"4,387","4,501","4,262","4,648"
Vijayawada,Jun-2016,"4,425","4,623","4,340","4,534"
Vijayawada,Sep-2016,"4,568","4,695","4,463","4,770"
Vijayawada,Dec-2016,"4,729","4,646","4,624","5,053"
Vijayawada,Mar-2017,"4,781","4,604","4,686","5,137"
Vijayawada,Jun-2017,"4,654","4,532","4,534","5,041"
Vijayawada,Sep-2017,"4,592","4,611","4,420","5,036"
Vijayawada,Dec-2017,"4,587","4,635","4,422","4,995"
Vijayawada,Mar-2018,"4,601","4,780","4,446","4,908"
Vijayawada,JUN-2018,"4,586","4,903","4,415","4,854"
Vijayawada,SEP-2018,"4,614","4,830","4,477","4,846"
Vijayawada,DEC 2018,"4,580","4,775","4,448","4,814"
Vijayawada,Mar 2019,"4,574","4,732","4,433","4,855"
Vijayawada,Jun 2019,"4,612","4,635","4,500","4,894"
Vijayawada,Sep 2019,"4,580","4,592","4,462","4,887"
Vijayawada,Dec 2019,"4,594","4,549","4,469","4,949"
Vijayawada,Mar 2020,"4,575","4,381","4,457","5,001"
Vijayawada,Jun 2020,"4,549","4,273","4,394","5,124"
Vijayawada,Sep 2020,"4,591","4,220","4,428","5,240"
Vijayawada,Dec 2020,"4,606","4,133","4,416","5,386"
Vijayawada,Mar 2021,"4,629","4,223","4,474","5,277"
Vijayawada,Jun 2021,"4,612","4,246","4,444","5,273"
Vijayawada,Sep 2021,"4,623","4,083","4,482","5,314"
Vijayawada,Dec 2021,"4,609","3,829","4,554","5,215"
Vijayawada,Mar 2022,"4,663","3,796","4,593","5,359"
Vijayawada,Jun 2022,"4,716","3,891","4,644","5,391"
Vijayawada,Sep 2022,"4,767","4,039","4,673","5,443"
Vijayawada,Dec 2022,"4,866","4,397","4,696","5,595"
Vijayawada,Mar 2023,"4,876","4,517","4,658","5,664"
Vijayawada,Jun 2023,"4,881","4,570","4,686","5,582"
Vijayawada,Sep 2023,"4,913","4,583","4,726","5,603"
Vijayawada,Dec 2023,"4,919","4,629","4,742","5,559"
Vijayawada,Mar 2024,"5,003","4,686","4,847","5,604"
Vijayawada,Jun 2024,"5,065","4,733","4,886","5,734"
Vijayawada,Sep 2024,"5,162","4,935","4,908","5,966"
Meerut,Jun-2013,"2,125","2,437","1,944","2,256"
Meerut,Sep-2013,"2,210","2,464","2,079","2,269"
Meerut,Dec-2013,"2,298","2,519","2,154","2,441"
Meerut,Mar-2014,"2,470","2,726","2,257","2,787"
Meerut,Jun-2014,"2,649","2,851","2,387","3,201"
Meerut,Sep-2014,"2,807","3,122","2,453","3,490"
Meerut,Dec-2014,"2,822","2,957","2,557","3,480"
Meerut,Mar-2015,"2,859","2,960","2,648","3,392"
Meerut,Jun-2015,"2,899","3,026","2,793","3,056"
Meerut,Sep-2015,"2,886","2,961","2,858","2,865"
Meerut,Dec-2015,"2,970","3,098","2,921","2,942"
Meerut,Mar-2016,"3,045","3,121","3,026","2,999"
Meerut,Jun-2016,"3,138","3,207","3,145","3,017"
Meerut,Sep-2016,"3,218","3,279","3,247","3,039"
Meerut,Dec-2016,"3,310","3,336","3,367","3,090"
Meerut,Mar-2017,"3,390","3,710","3,356","3,042"
Meerut,Jun-2017,"3,303","3,647","3,237","3,024"
Meerut,Sep-2017,"3,189","3,435","3,134","3,018"
Meerut,Dec-2017,"3,167","3,339","3,139","3,012"
Meerut,Mar-2018,"3,199","3,321","3,171","3,112"
Meerut,JUN-2018,"3,236","3,331","3,199","3,221"
Meerut,SEP-2018,"3,328","3,468","3,248","3,383"
Meerut,DEC 2018,"3,375","3,548","3,263","3,487"
Meerut,Mar 2019,"3,403","3,567","3,269","3,598"
Meerut,Jun 2019,"3,447","3,723","3,274","3,606"
Meerut,Sep 2019,"3,413","3,661","3,274","3,507"
Meerut,Dec 2019,"3,397","3,634","3,280","3,435"
Meerut,Mar 2020,"3,360","3,631","3,241","3,354"
Meerut,Jun 2020,"3,365","3,580","3,273","3,357"
Meerut,Sep 2020,"3,444","3,545","3,316","3,708"
Meerut,Dec 2020,"3,466","3,515","3,415","3,555"
Meerut,Mar 2021,"3,545","3,637","3,531","3,459"
Meerut,Jun 2021,"3,533","3,608","3,530","3,433"
Meerut,Sep 2021,"3,661","3,806","3,614","3,605"
Meerut,Dec 2021,"3,771","3,953","3,688","3,779"
Meerut,Mar 2022,"3,792","3,996","3,694","3,817"
Meerut,Jun 2022,"3,826","3,998","3,746","3,839"
Meerut,Sep 2022,"3,901","4,005","3,848","3,924"
Meerut,Dec 2022,"3,985","4,181","3,876","4,053"
Meerut,Mar 2023,"4,095","4,231","3,974","4,290"
Meerut,Jun 2023,"4,135","4,345","4,010","4,238"
Meerut,Sep 2023,"4,169","4,465","4,010","4,254"
Meerut,Dec 2023,"4,184","4,372","4,121","4,120"
Meerut,Mar 2024,"4,258","4,464","4,216","4,097"
Meerut,Jun 2024,"4,417","4,569","4,352","4,407"
Meerut,Sep 2024,"4,406","4,441","4,411","4,338"
Faridabad,Jun-2013,"5,275","6,927","4,288","4,701"
Faridabad,Sep-2013,"5,199","6,602","4,351","4,723"
Faridabad,Dec-2013,"5,262","6,745","4,347","4,784"
Faridabad,Mar-2014,"5,240","6,795","4,295","4,720"
Faridabad,Jun-2014,"5,380","6,961","4,445","4,818"
Faridabad,Sep-2014,"5,610","7,106","4,794","4,991"
Faridabad,Dec-2014,"5,638","7,022","4,966","4,956"
Faridabad,Mar-2015,"5,678","6,891","5,139","5,014"
Faridabad,Jun-2015,"5,564","6,655","5,083","4,961"
Faridabad,Sep-2015,"5,297","6,295","4,821","4,792"
